Version,2.1.7,,,,,,,,,,,,,,,,
Release Date,12/12/2010,,,,,,,,,,,,,,,,
Row Labels,Count of File,Count of REF,Count of BUG,Count of Dev#,Count of LoC+,Max of LoC+,Average of LoC+,Count of LoC-,Max of LoC-,Average of LoC-,Max of FCount,Average of FCount,Average of Date,Codechurn,Max Codechurn,Ave Codechurn,Age
 bundles/trunk/aspectjrt/pom.xml,2,2,2,2,2,4,4,2,4,4,7,4.5,07/12/10,4,8,4,21.85714286
 bundles/trunk/aspectjweaver/NOTICE,1,1,1,1,1,1,1,1,1,1,7,7,07/12/10,2,2,1,21.85714286
 bundles/trunk/aspectjweaver/pom.xml,2,2,2,2,2,2,1.5,2,2,2,6,5,07/12/10,4,4,1.75,21.85714286
 bundles/trunk/derby-all/NOTICE,1,1,1,1,1,1,1,1,1,1,7,7,07/12/10,2,2,1,21.85714286
 bundles/trunk/derby-all/pom.xml,1,1,1,1,1,2,2,1,2,2,6,6,07/12/10,2,4,2,21.85714286
 bundles/trunk/javassist/NOTICE,2,2,2,2,2,5,5,2,0,0,6,5,11/01/10,4,5,2.5,5.857142857
 bundles/trunk/javassist/pom.xml,2,2,2,2,2,80,80,2,0,0,6,5,11/01/10,4,80,40,5.857142857
 bundles/trunk/javassist/src/main/appended-resources/META-INF/LICENSE.vm,1,1,1,1,1,491,491,1,0,0,6,6,11/01/10,2,491,245.5,5.857142857
 bundles/trunk/javassist/src/main/appended-resources/META-INF/NOTICE.vm,1,1,1,1,1,28,28,1,0,0,6,6,11/01/10,2,28,14,5.857142857
 bundles/trunk/javassist/velocity.log,2,2,2,2,2,32,32,2,0,0,6,5,11/01/10,4,32,16,5.857142857
 bundles/trunk/json/LICENSE,1,1,1,1,1,0,0,1,0,0,4,4,09/14/10,2,0,0,12.71428571
 bundles/trunk/json/NOTICE,2,2,2,2,2,14,14,2,0,0,4,3.5,09/14/10,4,14,7,12.71428571
 bundles/trunk/json/pom.xml,4,4,4,4,4,4,2.5,4,1,0.5,4,2.75,09/15/10,8,5,1.5,12.57142857
 bundles/trunk/scout/NOTICE,2,2,2,2,2,6,6,2,0,0,3,3,09/27/10,4,6,3,10.85714286
 bundles/trunk/scout/pom.xml,2,2,2,2,2,74,74,2,0,0,3,3,09/27/10,4,74,37,10.85714286
 bundles/trunk/sxc-jaxb/NOTICE,1,1,1,1,1,1,1,1,1,1,7,7,07/12/10,2,2,1,21.85714286
 bundles/trunk/sxc-jaxb/pom.xml,2,2,2,2,2,2,2,2,2,2,6,5,07/12/10,4,4,2,21.85714286
 bundles/trunk/sxc-runtime/NOTICE,1,1,1,1,1,1,1,1,1,1,7,7,07/12/10,2,2,1,21.85714286
 bundles/trunk/sxc-runtime/pom.xml,2,2,2,2,2,2,1.5,2,45,23.5,6,5,07/12/10,4,47,12.5,21.85714286
